0004a30b0020096f,-48,8.8,868500000,2,59,1,"11020958,76937735,18043700",2019-03-09 00:06:22.189864
0004a30b0020096f,-48,9.8,868100000,2,60,1,"11020958,76937735,18043700",2019-03-09 00:08:36.468690
0004a30b0020096f,-48,9.8,868300000,2,61,1,"11020958,76937735,18043700",2019-03-09 00:09:11.663764
0004a30b0020096f,-49,10,868100000,2,62,1,"11020958,76937735,18043700",2019-03-09 00:11:18.209890
0004a30b0020096f,-47,10.3,868100000,2,65,1,"11020958,76937735,18043700",2019-03-09 00:14:01.421632
0004a30b0020096f,-51,12,868500000,2,66,1,"11020958,76937735,18043700",2019-03-09 00:14:35.900015
0004a30b0020096f,-52,13,868300000,2,67,1,"11020958,76937735,18043700",2019-03-09 00:14:40.080771
0004a30b0020096f,-48,10.3,868100000,2,68,1,"11020958,76937735,18043700",2019-03-09 00:16:43.003408
0004a30b0020096f,-48,9.3,868500000,2,69,1,"11020958,76937735,18043700",2019-03-09 00:17:13.411779
0004a30b0020096f,-49,13.3,868300000,2,70,1,"11020958,76937735,18043700",2019-03-09 00:17:21.634174
0004a30b0020096f,-51,12,868300000,2,72,1,"11020958,76937735,18043700",2019-03-09 00:20:04.925247
0004a30b0020096f,-50,11.5,868500000,2,73,1,"11020958,76937735,18043700",2019-03-09 00:20:09.119957
0004a30b0020096f,-49,12.5,868100000,2,74,1,"11020958,76937735,18043700",2019-03-09 00:22:07.979637
0004a30b0020096f,-47,9.8,868500000,2,75,1,"11020958,76937735,18043700",2019-03-09 00:22:49.234873
0004a30b0020096f,-48,10.8,868100000,1,76,1,"11020958,76937735,18043700",2019-03-09 00:24:51.733748
0004a30b0020096f,-46,10.8,868300000,1,77,1,"11020958,76937735,18043700",2019-03-09 00:25:34.516985
0004a30b0020096f,-55,9,868500000,1,78,1,"11020958,76937735,18043700",2019-03-09 00:25:48.992805
0004a30b0020096f,-46,9.3,868100000,1,79,1,"11020958,76937735,18043700",2019-03-09 00:30:37.322566
0004a30b0020096f,-45,10.3,868100000,1,81,1,"11020958,76937735,18043700",2019-03-09 00:36:25.619926
0004a30b0020096f,-51,10.8,868300000,1,82,1,"11020958,76937735,18043700",2019-03-09 00:37:09.863988
0004a30b0020096f,-49,8.8,868500000,1,83,1,"11020958,76937735,18043700",2019-03-09 00:37:19.528905
0004a30b0020096f,-54,10.3,868100000,1,84,1,"11020958,76937735,18043700",2019-03-09 00:42:14.034168
0004a30b0020096f,-48,10.3,868300000,1,85,1,"11020958,76937735,18043700",2019-03-09 00:42:56.881903
0004a30b0020096f,-65,10.5,868500000,1,86,1,"11020958,76937735,18043700",2019-03-09 00:43:00.985010
